# ts rotation(deg) translation(m)
387.108 3.47009 3.03645
387.108 3.57803 3.1172
387.508 3.672 2.90175
387.508 3.60666 2.85147
387.508 3.6426 2.80655
387.508 3.44358 2.80491
387.508 3.49037 2.80866
387.508 3.48944 2.84541
387.508 3.64009 2.90134
387.508 3.77891 2.98315
387.907 3.47508 2.79895
387.907 3.56094 2.74033
387.907 3.46599 2.71427
387.907 3.38862 2.70797
387.907 3.41514 2.72007
387.907 3.46322 2.76556
387.907 3.56251 2.8203
387.907 3.58211 2.8991
388.308 3.5265 2.67563
388.308 3.67259 2.61717
388.308 3.46385 2.58955
388.308 3.44296 2.56573
388.308 3.50109 2.58194
388.308 3.7863 2.61602
388.308 3.95505 2.68052
388.308 4.04012 2.76397
388.308 4.10182 2.86306
388.757 3.29321 2.54939
388.757 3.3206 2.49162
388.757 3.43709 2.45788
388.757 3.47763 2.45261
388.757 3.38306 2.46195
388.757 3.18894 2.50127
388.757 3.12183 2.55458
388.757 3.11463 2.63299
388.757 3.02674 2.73356
389.207 3.09374 2.43367
389.207 3.06097 2.36968
389.207 3.06519 2.33329
389.207 3.23492 2.31895
389.207 3.30449 2.33815
389.207 3.30045 2.37783
389.207 3.27829 2.44412
389.207 3.27075 2.53648
389.608 3.20262 2.32941
389.608 3.25901 2.26042
389.608 3.21883 2.22242
389.608 3.23 2.20775
389.608 3.2127 2.22525
389.608 3.15631 2.26764
389.608 3.14523 2.33771
389.608 3.18209 2.42946
390.007 3.32674 2.22206
390.007 3.38567 2.14288
390.007 3.31475 2.10578
390.007 3.29579 2.09519
390.007 3.20504 2.10991
390.007 3.05998 2.16266
390.007 3.11727 2.22848
390.007 3.04248 2.33225
390.407 3.17361 2.13785
390.407 3.11847 2.05612
390.407 3.13192 2.00628
390.407 3.11709 1.98483
390.407 3.10293 2.00654
390.407 3.10927 2.05515
390.407 3.2299 2.14142
390.407 3.25944 2.2513
390.808 3.22969 2.05164
390.808 3.1681 1.96581
390.808 3.11076 1.91604
390.808 3.00241 1.89188
390.808 2.86438 1.91057
390.808 2.8349 1.96016
390.808 2.75742 2.043
390.808 2.73141 2.15621
391.207 3.23175 1.94201
391.207 3.25829 1.84313
391.207 3.13464 1.79152
391.207 3.11099 1.77389
391.207 3.0343 1.79669
391.207 2.95478 1.85827
391.207 2.90329 1.95453
391.207 2.81481 2.0823
391.607 3.58147 1.852
391.607 3.38365 1.7562
391.607 3.23182 1.69384
391.607 3.17472 1.66924
391.607 3.03686 1.69689
391.607 3.0492 1.76042
391.607 2.98649 1.8728
391.607 2.89669 2.01202
392.007 3.4355 1.75982
392.007 3.33352 1.64854
392.007 3.29509 1.58165
392.007 3.20081 1.5585
392.007 3.09433 1.58712
392.007 3.01266 1.66171
392.007 2.83962 1.78136
392.007 2.86788 1.92641
392.407 3.40853 1.66759
392.407 3.27832 1.54812
392.407 3.20895 1.47263
392.407 3.18538 1.44772
392.407 3.16126 1.48176
392.407 3.00158 1.56987
392.407 2.95059 1.69455
392.407 3.08318 1.85814
392.807 3.22161 1.56696
392.807 3.38612 1.4287
392.807 3.34617 1.35243
392.807 3.21556 1.32938
392.807 3.40254 1.35768
392.807 3.21732 1.46432
392.807 3.35218 1.59429
392.807 3.11643 1.78079
393.157 3.30369 1.34453
393.157 3.36141 1.25199
393.157 3.14006 1.24054
393.157 3.193 1.26807
393.157 2.83445 1.38217
393.157 2.85711 1.53079
393.157 2.86037 1.71788
393.507 2.84761 1.27275
393.507 3.04203 1.16484
393.507 2.86583 1.15597
393.507 3.0352 1.19734
393.507 3.09121 1.3135
393.507 3.0248 1.48197
393.507 3.14117 1.67752
393.857 2.72086 1.18776
393.857 2.82632 1.08425
393.857 2.80147 1.05737
393.857 2.6697 1.12323
393.857 2.84579 1.23181
393.857 2.67151 1.41354
393.857 2.82289 1.61844
394.207 2.76075 1.08372
394.207 2.70254 0.989382
394.207 2.75923 0.960888
394.207 2.68727 1.02735
394.207 2.84417 1.15368
394.207 2.85065 1.33447
394.207 2.89896 1.54555
394.607 2.67892 1.16522
394.607 2.49604 1.01326
394.607 2.57348 0.897657
394.607 2.53333 0.881718
394.607 2.62208 0.942518
394.607 2.74892 1.07486
394.607 2.79851 1.25906
394.607 3.04933 1.46401
395.007 2.52513 1.07287
395.007 2.46947 0.911793
395.007 2.45265 0.812398
395.007 2.41399 0.806014
395.007 2.56812 0.872422
395.007 2.6364 1.01141
395.007 2.92168 1.18993
395.007 3.21119 1.39734
395.407 2.34574 1.00592
395.407 2.36226 0.839671
395.407 2.23342 0.753556
395.407 2.39073 0.735173
395.407 2.59661 0.814613
395.407 2.93536 0.957477
395.407 3.35761 1.13666
395.407 3.78202 1.34267
395.407 4.31999 1.55914
395.857 2.97874 0.900739
395.857 2.65738 0.752324
395.857 2.55081 0.664565
395.857 2.44526 0.669796
395.857 2.67186 0.750465
395.857 3.06014 0.898104
395.857 3.56928 1.08759
395.857 4.24806 1.28956
395.857 4.85167 1.51081
396.307 3.14031 0.826197
396.307 2.69627 0.679389
396.307 2.41209 0.585921
396.307 2.60589 0.588333
396.307 2.83565 0.698483
396.307 3.43254 0.855086
396.307 4.01788 1.0492
396.307 4.6611 1.26394
396.307 5.4313 1.48184
396.757 3.60125 0.756129
396.757 3.14499 0.582761
396.757 2.81426 0.492143
396.757 2.78293 0.509884
396.757 3.17916 0.630008
396.757 3.92408 0.806658
396.757 4.77355 1.01266
396.757 5.66072 1.22745
396.757 6.47614 1.44434
397.206 4.62511 0.633645
397.206 3.70076 0.488209
397.206 3.06583 0.399254
397.206 3.05356 0.440261
397.206 3.32286 0.577446
397.206 4.14817 0.754318
397.206 4.8721 0.954601
397.206 5.78919 1.15771
397.206 6.7073 1.36141
397.657 3.88895 0.560507
397.657 3.23292 0.387295
397.657 2.80213 0.299052
397.657 3.16355 0.344284
397.657 3.66878 0.499728
397.657 4.28121 0.688355
397.657 5.16274 0.881636
397.657 5.94473 1.08435
397.657 6.89306 1.28183
398.157 5.05846 0.656567
398.157 4.19851 0.463028
398.157 3.60309 0.290846
398.157 3.11773 0.197024
398.157 3.09038 0.269083
398.157 3.42612 0.434866
398.157 4.04072 0.627839
398.157 4.89713 0.819437
398.157 5.69322 1.01837
398.157 6.60089 1.2146
398.657 4.46949 0.649422
398.657 3.78182 0.454743
398.657 3.35439 0.265089
398.657 2.98618 0.117464
398.657 2.98498 0.186244
398.657 3.19083 0.369457
398.657 3.57182 0.562261
398.657 4.06941 0.761957
398.657 4.59276 0.96221
398.657 5.18844 1.16214
399.157 3.95454 0.694907
399.157 3.53977 0.494615
399.157 3.29406 0.29389
399.157 3.01616 0.0999789
399.157 2.95188 0.131978
399.157 3.05934 0.328198
399.157 3.11624 0.532037
399.157 3.36459 0.738029
399.157 3.60389 0.943116
399.157 3.94905 1.15435
399.656 3.57173 0.745212
399.656 3.33778 0.535124
399.656 3.22149 0.325108
399.656 3.03979 0.124251
399.656 2.97007 0.136028
399.656 2.92976 0.337962
399.656 2.93227 0.552002
399.656 2.97439 0.770087
399.656 2.95506 0.988823
399.656 2.95828 1.20611
400.157 2.79108 0.814075
400.157 2.76848 0.59904
400.157 2.76081 0.386711
400.157 2.68963 0.20519
400.157 2.68853 0.188538
400.157 2.66124 0.360802
400.157 2.63249 0.572715
400.157 2.60556 0.793146
400.157 2.53458 1.01699
400.157 2.56045 1.24536
400.606 2.48776 0.648089
400.606 2.52818 0.441459
400.606 2.52686 0.269616
400.606 2.51095 0.253338
400.606 2.54292 0.408004
400.606 2.51661 0.615511
400.606 2.52036 0.842493
400.606 2.56698 1.07668
400.606 2.57322 1.31649
401.056 2.30548 0.709756
401.056 2.31526 0.499284
401.056 2.40259 0.33778
401.056 2.4483 0.317364
401.056 2.49581 0.46203
401.056 2.6392 0.674835
401.056 2.69599 0.905801
401.056 2.75177 1.14945
401.456 2.47093 0.774127
401.456 2.47081 0.565588
401.456 2.50293 0.408303
401.456 2.44526 0.380036
401.456 2.5056 0.511663
401.456 2.50848 0.712169
401.456 2.55094 0.948707
401.456 2.64123 1.19525
401.856 2.30674 0.836606
401.856 2.41148 0.623187
401.856 2.44339 0.466306
401.856 2.60734 0.444157
401.856 2.69531 0.563855
401.856 2.77814 0.769425
401.856 2.88805 1.00926
401.856 2.96628 1.26345
402.256 2.69221 0.893912
402.256 2.69243 0.687456
402.256 2.6393 0.543383
402.256 2.64765 0.527972
402.256 2.69912 0.644401
402.256 2.80136 0.843121
402.256 2.88524 1.07856
402.256 2.97561 1.33391
402.656 2.22934 0.975117
402.656 2.22666 0.763752
402.656 2.3475 0.624068
402.656 2.44567 0.598127
402.656 2.53028 0.703003
402.656 2.73971 0.908156
402.656 2.71979 1.13852
402.656 2.77801 1.40545
403.006 2.34606 0.815959
403.006 2.28109 0.700655
