# ts rotation(%) translation(%)
386.708 0.0233733 0.0127064
386.708 0.0224588 0.0123606
386.708 0.0223103 0.0127277
386.708 0.0213699 0.0128093
386.708 0.0216446 0.0133771
386.708 0.0229509 0.0128115
386.708 0.025528 0.0130232
387.108 0.0224066 0.0133072
387.108 0.0245697 0.0130034
387.108 0.0236985 0.0121606
387.108 0.0217031 0.012972
387.108 0.0202838 0.0126551
387.108 0.0212048 0.0129939
387.108 0.0229643 0.0119989
387.108 0.0264086 0.0119648
387.508 0.0262522 0.0147012
387.508 0.0254983 0.0139056
387.508 0.0242852 0.0140035
387.508 0.0203091 0.0134205
387.508 0.0187475 0.0130793
387.508 0.0174486 0.0124212
387.508 0.0203272 0.0124476
387.508 0.0240619 0.0129876
387.907 0.0221896 0.0202783
387.907 0.0242422 0.0135508
387.907 0.0216628 0.0124337
387.907 0.0201751 0.0124766
387.907 0.0191329 0.0128185
387.907 0.0177762 0.0121406
387.907 0.0198506 0.0133762
387.907 0.0216417 0.0128369
388.308 0.0188752 0.0196643
388.308 0.0221453 0.0140391
388.308 0.018426 0.0123926
388.308 0.0174833 0.0126844
388.308 0.0191533 0.0133637
388.308 0.0209366 0.0138695
388.308 0.0230544 0.0146506
388.308 0.0257221 0.0153557
388.308 0.0244063 0.0148267
388.757 0.0187124 0.012496
388.757 0.0181021 0.0123084
388.757 0.017722 0.0122659
388.757 0.0175144 0.0120253
388.757 0.0166953 0.0120527
388.757 0.0154519 0.0113871
388.757 0.0155151 0.0118138
388.757 0.0156875 0.0117444
388.757 0.0121132 0.0114004
389.207 0.0151851 0.0126438
389.207 0.0146913 0.012012
389.207 0.0145868 0.0115451
389.207 0.0160585 0.0116004
389.207 0.0157482 0.0118442
389.207 0.0159358 0.0115424
389.207 0.0165249 0.0110749
389.207 0.0138094 0.0103666
389.608 0.0179301 0.0128174
389.608 0.0176175 0.012154
389.608 0.0163055 0.011219
389.608 0.0159891 0.0105073
389.608 0.015196 0.0102742
389.608 0.0139703 0.0105675
389.608 0.0148867 0.0106555
389.608 0.0160723 0.0111708
390.007 0.0197642 0.0129176
390.007 0.0186814 0.012989
390.007 0.0190757 0.0126265
390.007 0.0173346 0.0119559
390.007 0.0157037 0.0109407
390.007 0.0134539 0.0105482
390.007 0.0140878 0.011249
390.007 0.014141 0.0112324
390.407 0.0140269 0.0195115
390.407 0.0175677 0.0124396
390.407 0.0172803 0.011803
390.407 0.0168866 0.0107563
390.407 0.0160066 0.010106
390.407 0.0156755 0.0098174
390.407 0.0170291 0.0111379
390.407 0.0173862 0.0121521
390.808 0.0185185 0.0217093
390.808 0.0189624 0.0190798
390.808 0.0217861 0.0133539
390.808 0.0179982 0.0112209
390.808 0.0139833 0.00969333
390.808 0.0118499 0.00997852
390.808 0.0120291 0.0111106
390.808 0.0185772 0.0128975
391.207 0.0195972 0.0241441
391.207 0.0233734 0.0204231
391.207 0.0265572 0.0144111
391.207 0.022032 0.0117858
391.207 0.0178273 0.00955235
391.207 0.0149455 0.0100746
391.207 0.0179414 0.0125736
391.207 0.0216433 0.0151559
391.607 0.021371 0.0255022
391.607 0.0222128 0.0208197
391.607 0.0295167 0.0159897
391.607 0.0238111 0.0125445
391.607 0.0187114 0.00966527
391.607 0.0168961 0.0106442
391.607 0.0183551 0.0131391
391.607 0.0231494 0.016682
392.007 0.0210142 0.023974
392.007 0.024797 0.0207343
392.007 0.0309809 0.0156373
392.007 0.0259495 0.0127226
392.007 0.0210737 0.00977376
392.007 0.017802 0.0102279
392.007 0.0193578 0.0122439
392.007 0.0279492 0.0158073
392.407 0.0280324 0.0230105
392.407 0.0322418 0.0201618
392.407 0.0264024 0.014581
392.407 0.0221448 0.0115012
392.407 0.0195207 0.00926959
392.407 0.0200405 0.00996599
392.407 0.0261516 0.0124805
392.407 0.0314306 0.0161816
392.807 0.0331107 0.0213594
392.807 0.0317167 0.0173413
392.807 0.0262958 0.0148924
392.807 0.0196429 0.0114251
392.807 0.0229792 0.0107497
392.807 0.024709 0.0110439
392.807 0.0327986 0.0147568
392.807 0.0349965 0.0167649
393.157 0.0269703 0.0175619
393.157 0.0240269 0.014933
393.157 0.0175288 0.0107981
393.157 0.0191202 0.00961685
393.157 0.0205666 0.00975513
